Matrix Name,Matrix Kind
t3dh_a,duplicate model reduction problem
t3dh_e,duplicate model reduction problem
bmw3_2,structural problem
c-58,optimization problem
c-62ghs,subsequent optimization problem
c-71,optimization problem
exdata_1,optimization problem
audikw_1,structural problem
bmw7st_1,structural problem
bmwcra_1,structural problem
crankseg_1,structural problem
crankseg_2,structural problem
crplat2,structural problem
fcondp2,structural problem
fullb,structural problem
halfb,structural problem
hood,structural problem
inline_1,structural problem
ldoor,structural problem
m_t1,structural problem
oilpan,structural problem
opt1,structural problem
ramage02,computational fluid dynamics problem
s3dkq4m2,structural problem
s3dkt3m2,structural problem
ship_001,structural problem
ship_003,structural problem
shipsec1,structural problem
shipsec5,structural problem
shipsec8,structural problem
srb1,structural problem
thread,structural problem
trdheim,structural problem
troll,structural problem
tsyl201,structural problem
vanbody,structural problem
x104,structural problem
a0nsdsil,optimization problem
a2nnsnsl,optimization problem
a5esindl,optimization problem
bloweya,materials problem
brainpc2,optimization problem
sparsine,structural problem
std1_Jac2,chemical process simulation problem
std1_Jac3_db,chemical process simulation problem
std1_Jac3,chemical process simulation problem
Zd_Jac2_db,chemical process simulation problem
Zd_Jac2,chemical process simulation problem
Zd_Jac3_db,chemical process simulation problem
Zd_Jac3,chemical process simulation problem
Zd_Jac6_db,chemical process simulation problem
Zd_Jac6,chemical process simulation problem
rajat16,circuit simulation problem
rajat17,circuit simulation problem
rajat18,circuit simulation problem
bundle1,computer graphics/vision problem
CO,theoretical/quantum chemistry problem
Ga10As10H30,theoretical/quantum chemistry problem
Ga19As19H42,theoretical/quantum chemistry problem
Ga3As3H12,theoretical/quantum chemistry problem
Ga41As41H72,theoretical/quantum chemistry problem
GaAsH6,theoretical/quantum chemistry problem
Ge87H76,theoretical/quantum chemistry problem
Ge99H100,theoretical/quantum chemistry problem
H2O,theoretical/quantum chemistry problem
Si10H16,theoretical/quantum chemistry problem
Si34H36,theoretical/quantum chemistry problem
Si41Ge41H72,theoretical/quantum chemistry problem
Si87H76,theoretical/quantum chemistry problem
SiO2,theoretical/quantum chemistry problem
SiO,theoretical/quantum chemistry problem
rajat20,circuit simulation problem
rajat25,circuit simulation problem
rajat28,circuit simulation problem
net100,optimization problem
net125,optimization problem
net150,optimization problem
net50,optimization problem
net75,optimization problem
pattern1,optimization problem
pf2177,optimization problem
fp,electromagnetics problem
rajat31,circuit simulation problem
laminar_duct3D,computational fluid dynamics problem
thermal2,thermal problem
F1,structural problem
bloweybl,materials problem
bloweybq,materials problem
filter3D,model reduction problem
gyro,model reduction problem
t3dh,model reduction problem
windscreen,model reduction problem
bone010,model reduction problem
boneS01,model reduction problem
boneS10,model reduction problem
patents,directed graph
Reuters911,undirected weighted graph sequence
c-43,optimization problem
c-45,optimization problem
c-53,optimization problem
c-57,optimization problem
c-big,optimization problem
af_0_k101,structural problem
af_1_k101,structural problem
af_2_k101,structural problem
af_3_k101,structural problem
af_4_k101,structural problem
af_5_k101,structural problem
af_shell10,structural problem
c-64b,subsequent optimization problem
c-66b,subsequent optimization problem
c-67b,subsequent optimization problem
c-73b,subsequent optimization problem
conf5_4-8x8-05,theoretical/quantum chemistry problem
conf5_4-8x8-10,theoretical/quantum chemistry problem
conf5_4-8x8-15,theoretical/quantum chemistry problem
conf5_4-8x8-20,theoretical/quantum chemistry problem
conf6_0-8x8-20,theoretical/quantum chemistry problem
conf6_0-8x8-30,theoretical/quantum chemistry problem
conf6_0-8x8-80,theoretical/quantum chemistry problem
invextr1_new,computational fluid dynamics problem
mixtank_new,computational fluid dynamics problem
msdoor,structural problem
pf2177,optimization problem
wb-edu,directed graph
Dubcova3,2D/3D problem
BenElechi1,2D/3D problem
FEM_3D_thermal2,thermal problem
3Dspectralwave,materials problem
3Dspectralwave2,materials problem
F2,structural problem
kkt_power,optimization problem
fem_filter,electromagnetics problem
water_tank,computational fluid dynamics problem
largebasis,optimization problem
nlpkkt80,optimization problem
nlpkkt120,optimization problem
case39,power network problem sequence
case9,power network problem sequence
mono_500Hz,acoustics problem
Freescale1,circuit simulation problem
TSOPF_RS_b2383,power network problem
TSOPF_FS_b300,power network problem
TSOPF_FS_b300_c2,power network problem
TSOPF_FS_b39_c7,power network problem
TSOPF_FS_b9_c6,power network problem
TSOPF_RS_b2052_c1,power network problem
TSOPF_RS_b2383_c1,power network problem
TSOPF_RS_b678_c2,power network problem
fem_hifreq_circuit,electromagnetics problem
atmosmodd,computational fluid dynamics problem
atmosmodj,computational fluid dynamics problem
atmosmodl,computational fluid dynamics problem
atmosmodm,computational fluid dynamics problem
mouse_gene,undirected weighted graph
offshore,electromagnetics problem
soc-Slashdot0811,directed graph
soc-Slashdot0902,directed graph
email-Enron,directed graph
web-BerkStan,directed graph
web-Google,directed graph
web-NotreDame,directed graph
gsm_106857,electromagnetics problem
pdb1HYS,weighted undirected graph
consph,2D/3D problem
cant,2D/3D problem
cop20k_A,2D/3D problem
webbase-1M,weighted directed graph
dielFilterV2clx,electromagnetics problem
dielFilterV2real,electromagnetics problem
dielFilterV3clx,electromagnetics problem
dielFilterV3real,electromagnetics problem
cnr-2000,directed graph
in-2004,directed graph
eu-2005,directed graph
road_central,undirected graph
road_usa,undirected graph
delaunay_n21,undirected graph
delaunay_n22,undirected graph
delaunay_n23,undirected graph
delaunay_n24,undirected graph
hugebubbles-00000,undirected graph
hugebubbles-00010,undirected graph
hugebubbles-00020,undirected graph
hugetrace-00010,undirected graph
hugetrace-00020,undirected graph
hugetric-00010,undirected graph
hugetric-00020,undirected graph
rgg_n_2_19_s0,undirected random graph
rgg_n_2_20_s0,undirected random graph
rgg_n_2_21_s0,undirected random graph
rgg_n_2_22_s0,undirected random graph
germany_osm,undirected graph
auto,undirected graph
m14b,undirected graph
HTC_336_4438,power network problem
HTC_336_9129,power network problem
TSC_OPF_1047,power network problem
TSC_OPF_300,power network problem
Serena,structural problem
Emilia_923,structural problem
Fault_639,structural problem
Flan_1565,structural problem
Geo_1438,structural problem
Hook_1498,structural problem
StocF-1465,computational fluid dynamics problem
Cube_Coup_dt0,structural problem
Long_Coup_dt6,structural problem
Chevron4,2D/3D problem
CurlCurl_2,model reduction problem
CurlCurl_3,model reduction problem
CurlCurl_4,model reduction problem
333SP,undirected graph
AS365,undirected graph
M6,undirected graph
NLR,undirected graph
vsp_bcsstk30_500sep_10in_1Kout,random unweighted graph
vsp_befref_fxm_2_4_air02,random unweighted graph
vsp_model1_crew1_cr42_south31,random unweighted graph
vsp_msc10848_300sep_100in_1Kout,random unweighted graph
vsp_south31_slptsk,random unweighted graph
CoupCons3D,structural problem
ML_Laplace,structural problem
Bump_2911,2D/3D problem
hangGlider_3,optimal control problem
hangGlider_4,optimal control problem
hangGlider_5,optimal control problem
lowThrust_4,optimal control problem
lowThrust_5,optimal control problem
lowThrust_6,optimal control problem
lowThrust_7,optimal control problem
lowThrust_8,optimal control problem
lowThrust_9,optimal control problem
lowThrust_10,optimal control problem
lowThrust_11,optimal control problem
lowThrust_12,optimal control problem
lowThrust_13,optimal control problem
iChem_Jacobian,computational chemistry problem
