id,Group,Name,rows,cols,entries
103,Nemeth,nemeth23,9506,9506,1506810
104,Nemeth,nemeth25,9506,9506,1511758
105,Nemeth,nemeth26,9506,9506,1511760
106,GHS_indef,sparsine,50000,50000,1548988
107,Chen,pkustk09,33960,33960,1583640
108,VanVelzen,Zd_Jac2,22835,22835,1642833
109,FEMLAB,ns3Da,20414,20414,1679599
110,Vavasis,av41092,41092,41092,1683902
111,VanVelzen,Zd_Jac6,22835,22835,1711983
112,Lee,fem_filter,74062,74062,1731206
113,Boeing,crystk03,24696,24696,1751178
114,Boeing,pcrystk03,24696,24696,1751178
115,Simon,bbmat,38744,38744,1771722
116,POLYFLOW,invextr1_new,30412,30412,1793881
117,Simon,appu,14000,14000,1853104
118,VanVelzen,Zd_Jac3,22835,22835,1916152
119,QCD,conf5_4-8x8-05,49152,49152,1916928
120,QCD,conf5_4-8x8-10,49152,49152,1916928
121,QCD,conf5_4-8x8-15,49152,49152,1916928
122,QCD,conf5_4-8x8-20,49152,49152,1916928
123,QCD,conf6_0-8x8-20,49152,49152,1916928
124,QCD,conf6_0-8x8-30,49152,49152,1916928
125,QCD,conf6_0-8x8-80,49152,49152,1916928
126,GHS_psdef,opt1,15449,15449,1930655
127,DNVS,trdheim,22098,22098,1935324
128,POLYFLOW,mixtank_new,29957,29957,1995041
129,IPSO,TSC_OPF_1047,8140,8140,2016902
130,Andrianov,net100,29920,29920,2033200
131,Rudnyi,water_tank,60740,60740,2035281
132,HB,bcsstk30,28924,28924,2043492
133,FEMLAB,sme3Db,29067,29067,2081063
134,Boeing,bcsstk39,46772,46772,2089294
135,Gupta,gupta1,31802,31802,2164210
136,Chen,pkustk05,37164,37164,2205144
137,PARSEC,H2O,67024,67024,2216736
138,GHS_indef,exdata_1,6001,6001,2269501
139,GHS_psdef,vanbody,47072,47072,2336898
140,Schenk_IBMNA,c-big,345241,345241,2341011
141,Bova,rma10,46835,46835,2374001
142,FEMLAB,poisson3Db,85623,85623,2374949
143,Chen,pkustk07,16860,16860,2418804
144,DIMACS10,vsp_msc10848_300sep_100in_1Kout,21996,21996,2442056
145,DNVS,tsyl201,20685,20685,2454957
146,Chen,pkustk06,43164,43164,2571768
147,Andrianov,net125,36720,36720,2577200
148,Williams,cop20k_A,121192,121192,2624331
149,Nasa,nasasrb,54870,54870,2677324
150,Boeing,ct20stif,52329,52329,2698463
151,Boeing,pct20stif,52329,52329,2698463
152,Oberwolfach,filter3D,106437,106437,2707179
153,GHS_psdef,ramage02,16830,16830,2866352
154,GHS_psdef,srb1,54924,54924,2962152
155,Rothberg,cfd2,123440,123440,3087898
156,Williams,webbase-1M,1000005,1000005,3105536
157,Andrianov,net150,43520,43520,3121200
158,Chen,pkustk03,63336,63336,3130416
159,FEMLAB,sme3Dc,42930,42930,3148656
160,Rothberg,3dtube,45330,45330,3213618
161,LAW,cnr-2000,325557,325557,3216152
162,Chen,pkustk08,22209,22209,3226671
163,ND,nd3k,9000,9000,3279690
164,DIMACS10,m14b,214765,214765,3358036
165,PARSEC,GaAsH6,61349,61349,3381809
166,Botonakis,FEM_3D_thermal2,147900,147900,3489300
167,GHS_psdef,oilpan,73752,73752,3597188
168,UTEP,Dubcova3,146689,146689,3636649
169,GHS_psdef,s3dkt3m2,90449,90449,3753461
170,Raju,laminar_duct3D,67173,67173,3833077
171,Ronis,xenon2,157464,157464,3866688
172,Williams,cant,62451,62451,4007383
173,DIMACS10,vsp_bcsstk30_500sep_10in_1Kout,58348,58348,4033156
174,Meng,iChem_Jacobian,274087,274087,4137369
175,Chen,pkustk04,55590,55590,4218660
176,Um,offshore,259789,259789,4242673
177,Gupta,gupta2,62064,62064,4248286
178,Chen,pkustk10,80676,80676,4308984
179,Williams,pdb1HYS,36417,36417,4344765
180,Oberwolfach,t3dh_a,79171,79171,4352105
181,Oberwolfach,t3dh_e,79171,79171,4352105
182,Oberwolfach,t3dh,79171,79171,4352105
183,TSOPF,TSOPF_FS_b300,29214,29214,4400122
184,Norris,torso3,259156,259156,4429042
185,DNVS,thread,29736,29736,4470048
186,DNVS,ship_001,34920,34920,4644230
187,GHS_psdef,s3dkq4m2,90449,90449,4820891
188,FreeFieldTechnologies,mono_500Hz,169410,169410,5036288
189,SNAP,web-Google,916428,916428,5105039
190,PARSEC,Si34H36,97569,97569,5156379
191,Chen,pkustk11,87804,87804,5217912
192,Koutsovasilis,F2,71505,71505,5294285
193,Schenk_ISEI,para-4,153226,153226,5326228
194,Schenk_ISEI,para-10,155924,155924,5416358
195,Schenk_ISEI,para-5,155924,155924,5416358
196,Schenk_ISEI,para-6,155924,155924,5416358
197,Schenk_ISEI,para-7,155924,155924,5416358
198,Schenk_ISEI,para-8,155924,155924,5416358
199,Schenk_ISEI,para-9,155924,155924,5416358
200,QLi,largebasis,440020,440020,5560100
201,ATandT,pre2,659033,659033,5959282
202,PARSEC,Ga3As3H12,61349,61349,5970947
203,Williams,consph,83334,83334,6010480
204,PARSEC,Ga10As10H30,113081,113081,6115633
205,Chevron,Chevron4,711450,711450,6376412
206,DIMACS10,rgg_n_2_19_s0,524288,524288,6539532
207,Chen,pkustk13,94893,94893,6616827
208,DIMACS10,auto,448695,448695,6629222
209,DNVS,shipsec8,114919,114919,6653399
210,Oberwolfach,boneS01,127224,127224,6715152
211,TSOPF,TSOPF_RS_b2052_c1,25626,25626,6761100
212,ND,nd6k,18000,18000,6897316
213,GHS_psdef,bmw7st_1,141347,141347,7339667
214,vanHeukelum,cage13,445315,445315,7479343
215,Chen,pkustk12,94653,94653,7512317
216,Kamvar,Stanford_Berkeley,683446,683446,7583376
217,SNAP,web-BerkStan,685230,685230,7600595
218,PARSEC,CO,221119,221119,7666057
219,DNVS,shipsec1,140874,140874,7813404
220,PARSEC,Ge87H76,112985,112985,7892195
221,DNVS,ship_003,121728,121728,8086034
222,PARSEC,Ge99H100,112985,112985,8451395
223,Norris,torso1,116158,116158,8516500
224,Schmid,thermal2,1228045,1228045,8580313
225,TSOPF,TSOPF_FS_b300_c2,56814,56814,8767466
226,TSOPF,TSOPF_RS_b678_c2,35696,35696,8781949
227,Bourchtein,atmosmodd,1270432,1270432,8814880
228,Bourchtein,atmosmodj,1270432,1270432,8814880
229,PARSEC,Ga19As19H42,133123,133123,8884839
230,Bodendiek,CurlCurl_2,806529,806529,8921789
231,Rothberg,gearbox,153746,153746,9080404
232,Gupta,gupta3,16783,16783,9323427
233,Andrianov,pattern1,19242,19242,9323432
234,DNVS,m_t1,97578,97578,9753570
235,DNVS,shipsec5,179860,179860,10113096
236,DNVS,x104,108384,108384,10167624
237,Bourchtein,atmosmodl,1489752,1489752,10319760
238,Bourchtein,atmosmodm,1489752,1489752,10319760
239,GHS_psdef,crankseg_1,52804,52804,10614210
240,GHS_psdef,bmwcra_1,148770,148770,10644002
241,PARSEC,Si87H76,240369,240369,10661631
242,GHS_psdef,hood,220542,220542,10768436
243,Schenk_ISEI,ohne2,181343,181343,11063545
244,PARSEC,SiO2,155331,155331,11283503
245,GHS_indef,bmw3_2,227362,227362,11288630
246,DNVS,fcondp2,201822,201822,11294316
247,Kim,kim2,456976,456976,11330020
248,Boeing,pwtk,217918,217918,11634424
249,DNVS,fullb,199187,199187,11708077
250,DNVS,troll,213453,213453,11985111
251,DNVS,halfb,224617,224617,12387821
252,DIMACS10,delaunay_n21,2097152,2097152,12582816
253,BenElechi,BenElechi1,245874,245874,13150496
254,Bodendiek,CurlCurl_3,1219574,1219574,13544618
255,DIMACS10,rgg_n_2_20_s0,1048576,1048576,13783240
256,GHS_psdef,crankseg_2,63838,63838,14148858
257,ND,nd12k,36000,36000,14220946
258,Sinclair,3Dspectralwave2,292008,292008,14322744
259,Zaoui,kkt_power,2063494,2063494,14612663
260,Chen,pkustk14,151926,151926,14836504
261,Pajek,patents,3774768,3774768,14970767
262,PARSEC,Si41Ge41H72,185639,185639,15011265
263,TSOPF,TSOPF_RS_b2383,38120,38120,16171169
264,TSOPF,TSOPF_RS_b2383_c1,38120,38120,16171169
265,LAW,in-2004,1382908,1382908,16917053
266,Schenk_AFE,af_0_k101,503625,503625,17550675
267,Schenk_AFE,af_1_k101,503625,503625,17550675
268,Schenk_AFE,af_2_k101,503625,503625,17550675
269,Schenk_AFE,af_3_k101,503625,503625,17550675
270,Schenk_AFE,af_4_k101,503625,503625,17550675
271,Schenk_AFE,af_5_k101,503625,503625,17550675
272,Schenk_AFE,af_shell1,504855,504855,17588875
273,Schenk_AFE,af_shell2,504855,504855,17588875
274,Schenk_AFE,af_shell3,504855,504855,17588875
275,Schenk_AFE,af_shell4,504855,504855,17588875
276,Schenk_AFE,af_shell5,504855,504855,17588875
277,Schenk_AFE,af_shell6,504855,504855,17588875
278,Schenk_AFE,af_shell7,504855,504855,17588875
279,Schenk_AFE,af_shell8,504855,504855,17588875
280,Schenk_AFE,af_shell9,504855,504855,17588875
281,PARSEC,Ga41As41H72,268096,268096,18488476
282,Freescale,Freescale1,3428755,3428755,18920347
283,LAW,eu-2005,862664,862664,19235140
284,DIMACS10,hugetric-00010,6592765,6592765,19771708
285,Lee,fem_hifreq_circuit,491100,491100,20239237
286,INPRO,msdoor,415863,415863,20240935
287,Rajat,rajat31,4690002,4690002,20316253
288,DIMACS10,M6,3501776,3501776,21003872
289,Janna,StocF-1465,1465137,1465137,21005389
290,DIMACS10,hugetric-00020,7122792,7122792,21361554
291,Dziekonski,gsm_106857,589446,589446,21758924
292,DIMACS10,333SP,3712815,3712815,22217266
293,Janna,CoupCons3D,416800,416800,22322336
294,DIMACS10,AS365,3799275,3799275,22736152
295,DIMACS10,germany_osm,11548845,11548845,24738362
296,DIMACS10,NLR,4163763,4163763,24975952
297,DIMACS10,delaunay_n22,4194304,4194304,25165738
298,Dziekonski,dielFilterV2clx,607232,607232,25309272
299,Bodendiek,CurlCurl_4,2380515,2380515,26515867
300,Koutsovasilis,F1,343791,343791,26837113
301,vanHeukelum,cage14,1505785,1505785,27130349
302,Janna,ML_Laplace,377002,377002,27689972
303,Janna,Fault_639,638802,638802,28614564
304,Schenk,nlpkkt80,1062400,1062400,28704672
305,ND,nd24k,72000,72000,28715634
306,Belcastro,mouse_gene,45101,45101,28967291
307,DIMACS10,rgg_n_2_21_s0,2097152,2097152,28975990
308,Dziekonski,dielFilterV3clx,420408,420408,32886208
309,Sinclair,3Dspectralwave,680943,680943,33650589
310,DIMACS10,road_central,14081816,14081816,33866826
311,DIMACS10,hugetrace-00010,12057441,12057441,36164358
312,GHS_psdef,inline_1,503712,503712,36816342
313,Janna,Emilia_923,923136,923136,41005206
314,GHS_psdef,ldoor,952203,952203,46522475
315,DIMACS10,hugetrace-00020,16002413,16002413,47997626
316,Dziekonski,dielFilterV2real,1157456,1157456,48538952
317,DIMACS10,delaunay_n23,8388608,8388608,50331568
318,Schenk_AFE,af_shell10,1508065,1508065,52672325
319,DIMACS10,hugebubbles-00000,18318143,18318143,54940162
320,Oberwolfach,boneS10,914898,914898,55468422
321,Gleich,wb-edu,9845725,9845725,57156537
322,DIMACS10,road_usa,23947347,23947347,57708624
323,DIMACS10,hugebubbles-00010,19458087,19458087,58359528
324,DIMACS10,rgg_n_2_22_s0,4194304,4194304,60718396
325,Janna,Hook_1498,1498023,1498023,60917445
326,Janna,Geo_1438,1437960,1437960,63156690
327,DIMACS10,hugebubbles-00020,21198119,21198119,63580358
328,Janna,Serena,1391349,1391349,64531701
329,Oberwolfach,bone010,986703,986703,71666325
330,GHS_psdef,audikw_1,943695,943695,77651847
331,Janna,Long_Coup_dt6,1470152,1470152,87088992
332,Dziekonski,dielFilterV3real,1102824,1102824,89306020
333,Schenk,nlpkkt120,3542400,3542400,96845792
334,vanHeukelum,cage15,5154859,5154859,99199551
335,DIMACS10,delaunay_n24,16777216,16777216,100663202
336,Janna,Flan_1565,1564794,1564794,117406044
337,Janna,Cube_Coup_dt0,2164760,2164760,127206144
338,Janna,Bump_2911,2911419,2911419,127729899
